#          y                        Ulam                     a_xx                    a_xy
-9.999988234517018793e-01 2.787157370212400625e-06 3.519394746004323224e+03 4.194278690075519478e+01
-9.999894110819284032e-01 2.508425503664990939e-05 3.519367992903093636e+03 4.194262743858030973e+01
-9.999705864309741399e-01 6.967759013185580738e-05 3.519314486711949030e+03 4.194230851247908021e+01
-9.999423496760239116e-01 1.365654422134201834e-04 3.519234227453404856e+03 4.194183011894810420e+01
-9.999047010828528981e-01 2.257452306999090065e-04 3.519127215161387085e+03 4.194119225273280449e+01
-9.998576410058238606e-01 3.372135149710870391e-04 3.518993449880956177e+03 4.194039490682555993e+01
-9.998011698878842557e-01 4.709659944989708059e-04 3.518832931668498077e+03 4.193943807246647282e+01
-9.997352882605616831e-01 6.269975090139188112e-04 3.518645660591554133e+03 4.193832173914185546e+01
-9.996599967439592227e-01 8.053020387029948381e-04 3.518431636728899321e+03 4.193704589458408805e+01
-9.995752960467492176e-01 1.005872704440862082e-03 3.518190860170411270e+03 4.193561052477006967e+01
-9.994811869661669457e-01 1.228701768053853168e-03 3.517923331017093460e+03 4.193401561392072097e+01
-9.993776703880028478e-01 1.473780632618396091e-03 3.517629049380981087e+03 4.193226114449936404e+01
-9.992647472865944236e-01 1.741099842790862998e-03 3.517308015385169710e+03 4.193034709721092668e+01
-9.991424187248169053e-01 2.030649085171054927e-03 3.516960229163641998e+03 4.192827345099987468e+01
-9.990106858540733770e-01 2.342417188697924757e-03 3.516585690861287731e+03 4.192604018304906077e+01
-9.988695499142835610e-01 2.676392125080182417e-03 3.516184400633832411e+03 4.192364726877800507e+01
-9.987190122338729381e-01 3.032561009257723952e-03 3.515756358647729030e+03 4.192109468184086296e+01
-9.985590742297593136e-01 3.410910099897118426e-03 3.515301565080068485e+03 4.191838239412436451e+01
-9.983897374073401609e-01 3.811424799919670755e-03 3.514820020118588218e+03 4.191551037574629390e+01
-9.982110033604781885e-01 4.234089657062578733e-03 3.514311723961450753e+03 4.191247859505239859e+01
-9.980228737714862408e-01 4.678888364472282187e-03 3.513776676817237330e+03 4.190928701861461292e+01
-9.978253504111116445e-01 5.145803761332209958e-03 3.513214878904866055e+03 4.190593561122854283e+01
-9.976184351385195548e-01 5.634817833521573241e-03 3.512626330453413175e+03 4.190242433591053839e+01
-9.974021299012753028e-01 6.145911714308162528e-03 3.512011031702052605e+03 4.189875315389502219e+01
-9.971764367353260772e-01 6.679065685073396104e-03 3.511368982899894945e+03 4.189492202463143400e+01
-9.969413577649821612e-01 7.234259176069983074e-03 3.510700184305949278e+03 4.189093090578168699e+01
-9.966968952028960604e-01 7.811470767212658900e-03 3.510004636188893983e+03 4.188677975321625979e+01
-9.964430513500426301e-01 8.410678188901777458e-03 3.509282338827050808e+03 4.188246852101159590e+01
-9.961798285956968702e-01 9.031858322879362383e-03 3.508533292508135219e+03 4.187799716144585460e+01
-9.959072294174117213e-01 9.674987203117107679e-03 3.507757497529209559e+03 4.187336562499609727e+01
-9.956252563809943057e-01 1.034004001673800334e-02 3.506954954196504332e+03 4.186857386033410933e+01
-9.953339121404822798e-01 1.102699110497025285e-02 3.506125662825246764e+03 4.186362181432256335e+01
-9.950331994381186318e-01 1.173581396413303675e-02 3.505269623739503913e+03 4.185850943201098318e+01
-9.947231211043257026e-01 1.246648124665591766e-02 3.504386837272048524e+03 4.185323665663176484e+01
-9.944036800576790958e-01 1.321896476212968026e-02 3.503477303764129829e+03 4.184780342959550126e+01
-9.940748793048793663e-01 1.399323547838997144e-02 3.502541023565407158e+03 4.184220969048722338e+01
-9.937367219407245988e-01 1.478926352263346296e-02 3.501577997033625252e+03 4.183645537706097173e+01
-9.933892111480806530e-01 1.560701818256626794e-02 3.500588224534560140e+03 4.183054042523573202e+01
-9.930323501978514100e-01 1.644646790758393096e-02 3.499571706441738115e+03 4.182446476909023403e+01
-9.926661424489480190e-01 1.730758030998540836e-02 3.498528443136264286e+03 4.181822834085792095e+01
-9.922905913482573670e-01 1.819032216621709747e-02 3.497458435006644322e+03 4.181183107092207507e+01
-9.919057004306093273e-01 1.909465941815073967e-02 3.496361682448583906e+03 4.180527288781035367e+01
-9.915114733187438967e-01 2.002055717439224156e-02 3.495238185864689967e+03 4.179855371818914733e+01
-9.911079137232767788e-01 2.096797971162348007e-02 3.494087945664326526e+03 4.179167348685817274e+01
-9.906950254426646341e-01 2.193689047597517650e-02 3.492910962263359579e+03 4.178463211674454669e+01
-9.902728123631691082e-01 2.292725208443255683e-02 3.491707236084007945e+03 4.177742952889759209e+01
-9.898412784588205282e-01 2.393902632627285462e-02 3.490476767554426715e+03 4.177006564248150511e+01
-9.894004277913803769e-01 2.497217416453384464e-02 3.489219557108637218e+03 4.176254037477028191e+01
-9.889502645103029899e-01 2.602665573751462846e-02 3.487935605186230077e+03 4.175485364114112485e+01
-9.884907928526965870e-01 2.710243036030856104e-02 3.486624912232016868e+03 4.174700535506718779e+01
-9.880220171432835263e-01 2.819945652636820718e-02 3.485287478695926438e+03 4.173899542811210495e+01
-9.875439417943592257e-01 2.931769190909978839e-02 3.483923305032580629e+03 4.173082376992203990e+01
-9.870565713057509738e-01 3.045709336349133878e-02 3.482532391701193774e+03 4.172249028821981653e+01
-9.865599102647754082e-01 3.161761692777206867e-02 3.481114739165121136e+03 4.171399488879672646e+01
-9.860539633461954390e-01 3.279921782510163142e-02 3.479670347891666552e+03 4.170533747550586412e+01
-9.855387353121760619e-01 3.400185046529320687e-02 3.478199218351803665e+03 4.169651795025458085e+01
-9.850142310122398381e-01 3.522546844656604392e-02 3.476701351019853064e+03 4.168753621299689627e+01
-9.844804553832209315e-01 3.647002455732919340e-02 3.475176746373138030e+03 4.167839216172535544e+01
-9.839374134492189228e-01 3.773547077799781907e-02 3.473625404891804465e+03 4.166908569246392346e+01
-9.833851103215511813e-01 3.902175828283951237e-02 3.472047327058323845e+03 4.165961669925879107e+01
-9.828235511987052364e-01 4.032883744185138813e-02 3.470442513357330427e+03 4.164998507417097073e+01
-9.822527413662893725e-01 4.165665782266986944e-02 3.468810964275225160e+03 4.164019070726757832e+01
-9.816726861969831130e-01 4.300516819250888717e-02 3.467152680299820531e+03 4.163023348661296552e+01
-9.810833911504865945e-01 4.437431652013149042e-02 3.465467661920063165e+03 4.162011329826039230e+01
-9.804848617734692739e-01 4.576404997785003814e-02 3.463755909625627282e+03 4.160983002624276139e+01
-9.798771036995176376e-01 4.717431494355821264e-02 3.462017423906635031e+03 4.159938355256384312e+01
-9.792601226490820210e-01 4.860505700279330044e-02 3.460252205253209468e+03 4.158877375718844149e+01
-9.786339244294230966e-01 5.005622095082963574e-02 3.458460254155160328e+03 4.157800051803332764e+01
-9.779985149345570283e-01 5.152775079480093057e-02 3.456641571101622958e+03 4.156706371095764752e+01
-9.773539001451999608e-01 5.301958975585511352e-02 3.454796156580628576e+03 4.155596320975262614e+01
-9.767000861287118418e-01 5.453168027133762502e-02 3.452924011078776857e+03 4.154469888613214579e+01
-9.760370790390390239e-01 5.606396399700590977e-02 3.451025135080810287e+03 4.153327060972209495e+01
-9.753648851166569766e-01 5.761638180927299707e-02 3.449099529069251730e+03 4.152167824805046337e+01
-9.746835106885106681e-01 5.918887380748399929e-02 3.447147193523926489e+03 4.150992166653611548e+01
-9.739929621679558336e-01 6.078137931621742374e-02 3.445168128921643529e+03 4.149800072847872912e+01
-9.732932460546982467e-01 6.239383688762197705e-02 3.443162335735647048e+03 4.148591529504710707e+01
-9.725843689347322130e-01 6.402618430377925163e-02 3.441129814435388653e+03 4.147366522526908739e+01
-9.718663374802793964e-01 6.567835857909735953e-02 3.439070565485884799e+03 4.146125037601908758e+01
-9.711391584497250928e-01 6.735029596273524322e-02 3.436984589347430301e+03 4.144867060200743225e+01
-9.704028386875553913e-01 6.904193194105427700e-02 3.434871886475077645e+03 4.143592575576826675e+01
-9.696573851242924480e-01 7.075320124010055223e-02 3.432732457318156776e+03 4.142301568764735009e+01
-9.689028047764288720e-01 7.248403782811781160e-02 3.430566302319954048e+03 4.140994024579097044e+01
-9.681391047463623334e-01 7.423437491808702882e-02 3.428373421917034648e+03 4.139669927613213218e+01
-9.673662922223285054e-01 7.600414497029676919e-02 3.426153816538950650e+03 4.138329262237932937e+01
-9.665843744783330083e-01 7.779327969494122252e-02 3.423907486607711235e+03 4.136972012600345749e+01
-9.657933588740835740e-01 7.960171005474993289e-02 3.421634432537178782e+03 4.135598162622414264e+01
-9.649932528549203248e-01 8.142936626764345209e-02 3.419334654732723720e+03 4.134207695999757703e+01
-9.641840639517457179e-01 8.327617780941877490e-02 3.417008153590686106e+03 4.132800596200286236e+01
-9.633657997809540463e-01 8.514207341646433391e-02 3.414654929497763987e+03 4.131376846462788421e+01
-9.625384680443591634e-01 8.702698108850148717e-02 3.412274982830610497e+03 4.129936429795628783e+01
-9.617020765291225404e-01 8.893082809135738342e-02 3.409868313955292706e+03 4.128479328975316776e+01
-9.608566331076795475e-01 9.085354095976319599e-02 3.407434923226637693e+03 4.127005526545026726e+01
-9.600021457376658462e-01 9.279504550018194409e-02 3.404974810987852834e+03 4.125515004813247799e+01
-9.591386224618418943e-01 9.475526679366551297e-02 3.402487977569888699e+03 4.124007745852261309e+01
-9.582660714080176723e-01 9.673412919873798643e-02 3.399974423290851064e+03 4.122483731496617310e+01
-9.573845007889758563e-01 9.873155635430704014e-02 3.397434148455502509e+03 4.120942943341672304e+01
-9.564939189023949906e-01 1.007474711826043950e-01 3.394867153354688071e+03 4.119385362742050205e+01
-9.555943341307709948e-01 1.027817958921532632e-01 3.392273438264673132e+03 4.117810970810020876e+01
-9.546857549413383381e-01 1.048344519807621195e-01 3.389653003446637285e+03 4.116219748413972468e+01
-9.537681898859903251e-01 1.069053602385493240e-01 3.387005849146008131e+03 4.114611676176748745e+01
-9.528416476011986047e-01 1.089944407509909341e-01 3.384331975591907394e+03 4.112986734474053208e+01
-9.519061368079322349e-01 1.111016129019994914e-01 3.381631382996529737e+03 4.111344903432775055e+01
-9.509616663115750823e-01 1.132267953770266788e-01 3.378904071554472466e+03 4.109686162929278197e+01
-9.500082450018429991e-01 1.153699061661961622e-01 3.376150041442136171e+03 4.108010492587705187e+01
-9.490458818527005569e-01 1.175308625674607310e-01 3.373369292817130827e+03 4.106317871778274764e+01
-9.480745859222762251e-01 1.197095811897885276e-01 3.370561825817460431e+03 4.104608279615401045e+01
-9.470943663527772172e-01 1.219059779563727020e-01 3.367727640561065073e+03 4.102881694956035119e+01
-9.461052323704033373e-01 1.241199681078718475e-01 3.364866737145036495e+03 4.101138096397778554e+01
-9.451071932852604940e-01 1.263514662056736682e-01 3.361979115644995090e+03 4.099377462277044515e+01
-9.441002584912726592e-01 1.286003861351859012e-01 3.359064776114301822e+03 4.097599770667154928e+01
-9.430844374660934948e-01 1.308666411091536086e-01 3.356123718583532082e+03 4.095804999376515809e+01
-9.420597397710173126e-01 1.331501436710028907e-01 3.353155943059601668e+03 4.093993125946599321e+01
-9.410261750508892575e-01 1.354508056982096920e-01 3.350161449525152420e+03 4.092164127650033834e+01
-9.399837530340139358e-01 1.377685384056949736e-01 3.347140237937800066e+03 4.090317981488602328e+01
-9.389324835320644880e-01 1.401032523492452553e-01 3.344092308229392074e+03 4.088454664191223031e+01
-9.378723764399897744e-01 1.424548574289597747e-01 3.341017660305283243e+03 4.086574152211899502e+01
